NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#1253,"Records management technicians									","#1253Records management technicians									",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1253,"Records management technicians									","#1253Records management technicians									",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Demand,British Columbia,260,268,272,275,279,283,287,291,294,298,302
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Demand,Mainland South West,195,202,206,209,212,216,220,223,227,230,233
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Demand,Vancouver Island Coast,65,65,66,66,67,67,67,67,68,68,69
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Supply,British Columbia,264,269,274,279,284,287,291,295,298,301,303
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Supply,Mainland South West,198,204,208,213,217,221,225,228,230,233,235
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Supply,Vancouver Island Coast,66,66,66,66,66,66,67,67,67,68,68
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Supply less Demand,British Columbia,4,2,3,4,4,5,4,4,3,2,1
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Supply less Demand,Mainland South West,3,1,3,4,5,5,5,4,3,3,2
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Supply less Demand,Vancouver Island Coast,1,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1254,"Statistical officers and related research support occupations					","#1254Statistical officers and related research support occupations					",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Demand,British Columbia,24825,24987,25288,25567,25854,26147,26413,26685,26919,27169,27370
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Demand,Mainland South West,12931,13025,13162,13306,13459,13633,13824,14002,14137,14281,14404
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Demand,Vancouver Island Coast,4342,4356,4387,4404,4446,4473,4497,4531,4571,4613,4648
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Demand,North,2784,2855,2927,2983,3020,3056,3060,3074,3085,3087,3071
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Demand,South East,4769,4751,4811,4874,4928,4984,5032,5078,5126,5188,5247
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Supply,British Columbia,24968,25183,25460,25752,26083,26374,26627,26877,27089,27292,27454
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Supply,Mainland South West,13054,13161,13348,13553,13776,13973,14140,14276,14368,14458,14532
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Supply,Vancouver Island Coast,4365,4372,4382,4395,4422,4439,4465,4504,4544,4585,4622
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Supply,North,2816,2893,2946,2980,3010,3039,3047,3065,3082,3090,3082
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Labour Force Supply,South East,4733,4757,4785,4824,4875,4923,4975,5032,5095,5159,5219
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Supply less Demand,British Columbia,142,196,172,185,229,227,214,192,170,123,84
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Supply less Demand,Mainland South West,123,136,186,247,317,340,316,274,231,177,128
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Supply less Demand,Vancouver Island Coast,23,16,-6,-9,-24,-34,-31,-28,-27,-27,-27
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Supply less Demand,North,32,38,19,-4,-11,-18,-13,-9,-3,3,11
#1311,"Accounting technicians and bookkeepers								","#1311Accounting technicians and bookkeepers								",All Industries,Supply less Demand,South East,-36,7,-27,-50,-53,-61,-57,-45,-31,-30,-29
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Demand,British Columbia,3886,3714,3679,3692,3729,3765,3816,3865,3908,3952,3994
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Demand,Mainland South West,3000,2860,2838,2857,2893,2928,2971,3015,3053,3091,3124
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Demand,Vancouver Island Coast,546,489,464,452,451,452,456,459,462,467,472
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Demand,North,171,168,168,169,170,169,170,170,170,170,170
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Demand,South East,169,197,209,213,215,217,220,222,223,225,228
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Supply,British Columbia,3885,3773,3734,3748,3794,3833,3877,3918,3952,3985,4016
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Supply,Mainland South West,3016,2912,2889,2914,2961,3001,3038,3073,3102,3128,3151
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Supply,Vancouver Island Coast,528,497,469,454,450,449,452,456,459,464,469
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Supply,North,170,170,170,169,170,169,169,169,170,170,171
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Labour Force Supply,South East,171,194,207,211,213,214,217,220,222,224,226
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Supply less Demand,British Columbia,0,60,55,56,64,67,61,53,44,33,23
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Supply less Demand,Mainland South West,16,52,51,57,68,73,68,58,48,37,27
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Supply less Demand,Vancouver Island Coast,-18,7,4,2,-1,-3,-3,-3,-3,-3,-3
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Supply less Demand,North,-1,3,1,0,0,-1,-1,0,0,0,1
#1312,"Insurance adjusters and claims examiners								","#1312Insurance adjusters and claims examiners								",All Industries,Supply less Demand,South East,2,-2,-2,-2,-2,-3,-3,-2,-1,-1,-1
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Demand,British Columbia,1390,1333,1323,1330,1345,1359,1379,1398,1415,1431,1447
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Demand,Mainland South West,1207,1153,1145,1152,1167,1181,1198,1216,1232,1247,1260
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Demand,Vancouver Island Coast,119,109,104,102,101,102,103,103,104,105,106
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Demand,North,19,19,19,19,19,19,19,19,19,19,19
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Demand,South East,44,52,56,57,57,58,59,59,60,60,61
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Supply,British Columbia,1394,1355,1344,1353,1372,1388,1405,1420,1433,1445,1457
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Supply,Mainland South West,1214,1174,1165,1175,1194,1210,1226,1240,1251,1262,1271
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Supply,Vancouver Island Coast,117,110,105,102,101,101,102,103,103,104,106
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Supply,North,19,19,19,19,19,19,19,19,19,19,19
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Labour Force Supply,South East,45,51,55,56,57,57,58,59,59,60,61
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Supply less Demand,British Columbia,4,22,21,22,27,28,26,22,19,14,10
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Supply less Demand,Mainland South West,7,21,21,23,28,30,27,23,19,15,11
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Supply less Demand,Vancouver Island Coast,-3,2,1,0,0,-1,-1,-1,-1,-1,-1
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1313,"Insurance underwriters										","#1313Insurance underwriters										",All Industries,Supply less Demand,South East,1,-1,-1,-1,-1,-1,-1,-1,0,0,0
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Demand,British Columbia,1389,1407,1436,1458,1478,1494,1512,1530,1546,1563,1580
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Demand,Mainland South West,884,891,912,928,942,955,971,984,996,1008,1019
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Demand,Vancouver Island Coast,248,252,255,257,259,260,262,264,267,269,272
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Demand,North,36,37,37,37,37,37,37,37,37,37,37
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Demand,South East,221,227,233,237,239,241,243,244,246,249,251
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Supply,British Columbia,1418,1420,1446,1471,1495,1512,1529,1545,1559,1572,1586
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Supply,Mainland South West,910,902,923,944,964,979,992,1003,1012,1020,1028
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Supply,Vancouver Island Coast,249,253,255,256,258,258,260,262,265,268,270
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Supply,North,36,37,37,37,37,37,37,37,37,37,37
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Labour Force Supply,South East,224,227,231,234,237,238,240,242,245,247,250
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Supply less Demand,British Columbia,29,13,10,13,17,19,17,15,13,9,6
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Supply less Demand,Mainland South West,25,12,11,16,21,24,22,19,16,12,9
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Supply less Demand,Vancouver Island Coast,1,0,-1,-1,-1,-2,-2,-2,-2,-2,-2
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1314,"Assessors, valuators and appraisers								","#1314Assessors, valuators and appraisers								",All Industries,Supply less Demand,South East,3,0,-2,-3,-3,-3,-3,-2,-1,-1,-1
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Demand,British Columbia,859,812,806,811,820,825,834,842,849,857,862
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Demand,Mainland South West,818,774,768,773,781,786,794,803,809,817,821
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Demand,Vancouver Island Coast,41,38,38,38,39,39,39,40,40,40,41
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Supply,British Columbia,849,826,820,827,838,845,852,858,862,867,869
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Supply,Mainland South West,809,787,782,788,800,807,813,819,823,827,829
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Supply,Vancouver Island Coast,41,39,38,38,39,39,39,39,40,40,40
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Supply less Demand,British Columbia,-9,14,14,15,18,20,18,16,13,10,7
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Supply less Demand,Mainland South West,-9,13,14,15,19,20,19,16,13,10,8
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1315,"Customs, ship and other brokers									","#1315Customs, ship and other brokers									",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Demand,British Columbia,32540,32923,33218,33579,33951,34324,34741,35168,35603,36058,36496
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Demand,Mainland South West,21897,22142,22330,22577,22842,23111,23417,23713,23997,24292,24579
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Demand,Vancouver Island Coast,5108,5187,5222,5268,5317,5360,5419,5490,5570,5654,5737
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Demand,North,1679,1669,1685,1708,1727,1742,1754,1768,1784,1797,1805
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Demand,South East,3856,3925,3981,4027,4065,4111,4152,4197,4252,4314,4375
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Supply,British Columbia,32733,33168,33520,33943,34410,34801,35181,35550,35918,36285,36641
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Supply,Mainland South West,22052,22353,22650,22997,23379,23691,23955,24178,24380,24584,24785
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Supply,Vancouver Island Coast,5128,5195,5214,5253,5287,5317,5376,5451,5531,5615,5697
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Supply,North,1688,1695,1699,1707,1721,1733,1745,1762,1782,1798,1810
#1411,"General office support workers									","#1411General office support workers									",All Industries,Labour Force Supply,South East,3866,3926,3957,3986,4022,4061,4104,4159,4225,4289,4350
#1411,"General office support workers									","#1411General office support workers									",All Industries,Supply less Demand,British Columbia,193,246,302,363,459,477,440,382,315,227,145
#1411,"General office support workers									","#1411General office support workers									",All Industries,Supply less Demand,Mainland South West,155,210,319,420,537,580,538,465,383,291,205
#1411,"General office support workers									","#1411General office support workers									",All Industries,Supply less Demand,Vancouver Island Coast,19,8,-8,-15,-29,-43,-43,-38,-39,-40,-40
#1411,"General office support workers									","#1411General office support workers									",All Industries,Supply less Demand,North,9,26,14,-1,-6,-10,-8,-6,-3,1,5
#1411,"General office support workers									","#1411General office support workers									",All Industries,Supply less Demand,South East,10,1,-23,-41,-43,-50,-47,-38,-27,-26,-25
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Demand,British Columbia,28479,28954,29224,29628,30081,30532,31055,31580,32152,32740,33323
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Demand,Mainland South West,18468,18784,18972,19246,19564,19880,20239,20587,20958,21339,21720
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Demand,Vancouver Island Coast,4836,4917,4942,5000,5058,5114,5196,5287,5387,5490,5594
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Demand,North,1396,1431,1452,1480,1509,1536,1562,1589,1619,1647,1671
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Demand,South East,3778,3823,3858,3902,3951,4001,4058,4116,4188,4264,4338
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Supply,British Columbia,28452,29117,29468,29917,30446,30912,31400,31880,32391,32904,33415
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Supply,Mainland South West,18512,18933,19234,19593,20009,20363,20687,20974,21271,21573,21879
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Supply,Vancouver Island Coast,4791,4914,4934,4984,5028,5071,5151,5246,5345,5448,5551
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Supply,North,1405,1449,1463,1478,1503,1526,1553,1582,1615,1646,1674
#1414,"Receptionists											","#1414Receptionists											",All Industries,Labour Force Supply,South East,3744,3822,3837,3863,3907,3952,4010,4077,4159,4236,4311
#1414,"Receptionists											","#1414Receptionists											",All Industries,Supply less Demand,British Columbia,-26,163,244,289,365,380,346,300,239,163,92
#1414,"Receptionists											","#1414Receptionists											",All Industries,Supply less Demand,Mainland South West,44,149,262,347,444,483,448,387,313,234,159
#1414,"Receptionists											","#1414Receptionists											",All Industries,Supply less Demand,Vancouver Island Coast,-45,-3,-8,-16,-30,-43,-45,-41,-42,-42,-43
#1414,"Receptionists											","#1414Receptionists											",All Industries,Supply less Demand,North,8,18,11,-2,-6,-10,-9,-7,-4,-1,3
#1414,"Receptionists											","#1414Receptionists											",All Industries,Supply less Demand,South East,-34,-1,-21,-40,-43,-49,-48,-39,-29,-27,-27
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Demand,British Columbia,1840,1860,1876,1899,1920,1939,1964,1990,2019,2051,2083
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Demand,Mainland South West,1295,1314,1329,1347,1364,1379,1396,1414,1434,1455,1477
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Demand,Vancouver Island Coast,346,351,352,356,359,362,367,373,379,386,393
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Demand,North,63,64,63,64,65,65,66,67,69,70,71
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Demand,South East,136,131,131,131,132,133,135,136,138,140,142
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Supply,British Columbia,1845,1873,1894,1921,1948,1969,1991,2013,2038,2064,2091
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Supply,Mainland South West,1302,1326,1347,1372,1396,1414,1429,1442,1456,1472,1489
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Supply,Vancouver Island Coast,345,351,352,355,357,359,364,370,376,383,390
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Supply,North,63,65,64,64,64,65,66,67,69,70,71
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Labour Force Supply,South East,135,132,130,130,131,131,133,135,137,139,141
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Supply less Demand,British Columbia,5,13,18,22,28,30,27,23,19,13,8
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Supply less Demand,Mainland South West,8,12,18,24,32,35,32,28,22,17,11
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Supply less Demand,Vancouver Island Coast,-1,0,0,-1,-2,-3,-3,-3,-3,-3,-3
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Supply less Demand,North,0,1,1,0,0,0,0,0,0,0,0
#1415,"Personnel clerks											","#1415Personnel clerks											",All Industries,Supply less Demand,South East,-1,1,0,-1,-1,-2,-2,-1,-1,-1,-1
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Demand,British Columbia,340,341,351,357,361,365,369,373,377,382,386
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Demand,Mainland South West,181,160,162,164,166,168,170,171,173,175,177
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Demand,Vancouver Island Coast,56,57,58,58,59,59,59,60,61,61,62
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Demand,North,39,41,41,41,41,42,42,42,42,43,43
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Demand,South East,63,82,90,93,95,97,98,99,101,103,104
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Supply,British Columbia,347,345,353,359,364,368,371,375,379,383,387
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Supply,Mainland South West,183,165,165,167,170,172,174,175,176,177,179
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Supply,Vancouver Island Coast,57,58,58,58,58,58,59,59,60,61,62
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Supply,North,39,41,42,41,41,41,42,42,42,43,43
#1416,"Court clerks											","#1416Court clerks											",All Industries,Labour Force Supply,South East,67,80,88,92,94,96,97,99,100,102,104
#1416,"Court clerks											","#1416Court clerks											",All Industries,Supply less Demand,British Columbia,6,4,2,2,2,2,2,2,2,1,1
#1416,"Court clerks											","#1416Court clerks											",All Industries,Supply less Demand,Mainland South West,2,5,3,3,4,4,4,3,3,2,1
#1416,"Court clerks											","#1416Court clerks											",All Industries,Supply less Demand,Vancouver Island Coast,1,0,0,0,0,0,0,0,0,0,0
#1416,"Court clerks											","#1416Court clerks											",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1416,"Court clerks											","#1416Court clerks											",All Industries,Supply less Demand,South East,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Demand,British Columbia,4373,4362,4385,4427,4476,4523,4582,4639,4692,4747,4799
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Demand,Mainland South West,3432,3432,3455,3494,3537,3579,3628,3676,3718,3761,3800
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Demand,Vancouver Island Coast,616,610,608,610,614,618,624,630,638,646,654
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Demand,North,50,49,49,50,50,50,50,50,50,50,51
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Demand,South East,275,271,272,273,275,277,280,283,286,290,294
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Supply,British Columbia,4396,4405,4435,4489,4553,4605,4657,4704,4746,4786,4826
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Supply,Mainland South West,3461,3471,3506,3559,3620,3668,3711,3747,3778,3806,3833
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Supply,Vancouver Island Coast,611,613,609,609,611,613,619,626,634,642,650
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Supply,North,50,50,50,50,50,50,50,50,50,51,51
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Labour Force Supply,South East,273,271,270,271,272,274,277,280,284,288,292
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Supply less Demand,British Columbia,23,43,51,62,77,82,75,65,54,40,27
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Supply less Demand,Mainland South West,29,39,51,65,83,90,83,72,60,46,33
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Supply less Demand,Vancouver Island Coast,-5,2,0,-1,-3,-5,-5,-4,-4,-4,-4
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Supply less Demand,North,0,1,0,0,0,0,0,0,0,0,0
#1422,"Data entry clerks										","#1422Data entry clerks										",All Industries,Supply less Demand,South East,-1,1,-1,-3,-3,-3,-3,-3,-2,-2,-2
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Demand,British Columbia,161,160,161,162,164,166,169,171,173,175,177
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Demand,Mainland South West,161,160,161,162,164,166,169,171,173,175,177
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Supply,British Columbia,161,162,163,165,168,170,173,175,176,177,178
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Supply,Mainland South West,161,162,163,165,168,170,173,175,176,177,178
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Supply,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Supply less Demand,British Columbia,0,2,2,3,4,4,4,3,3,2,2
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Supply less Demand,Mainland South West,0,2,2,3,4,4,4,3,3,2,2
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#1423,"Desktop publishing operators and related occupations						","#1423Desktop publishing operators and related occupations						",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
